Cenario,Situacao,Aventura,Escolha A),Escolha B),Porcentagem A),Porcentagem B),Probabilidade de sucesso A),Probabilidade de sucesso B),Probabilidade de fracasso A),Probabilidade de fracasso B)
Tribo,11,Primeiro contato com a tribo:,Aproximar-se pacificamente e tentar se comunicar.,Observar de longe para estudar seu comportamento antes de se revelar.,91,93,A tribo aceita Joao e oferece ajuda. Ele ganha aliados e acesso a recursos tribais.,Joao descobre habitos da tribo e se aproxima com sucesso. Ele se integra a tribo com conhecimento previo. ,A tribo ve Joao como uma ameaca e o captura. Ele precisa negociar sua liberdade ou escapar.,Joao e descoberto e a tribo reage agressivamente. Ele precisa fugir e perde a chance de alianca. 
Tribo,12,Ganhar a confianca da tribo:,Oferecer ajuda nas tarefas diarias da tribo.,Presentear a tribo com itens encontrados no aviao.,96,92,Joao e aceito como parte da tribo e ganha aliados. Ele aprende habilidades de sobrevivencia locais.,A tribo aprecia os presentes e confia em Joao. Ele ganha acesso a mais recursos e protecao.,Joao comete um erro cultural e ofende a tribo. Ele e rejeitado e precisa reconquistar a confianca.,A tribo desconfia dos itens e afasta Joao. Ele perde a chance de alianca e precisa se virar sozinho. 
Tribo,13,Aprender sobre a ilha:,Participar de rituais e ouvir historias dos anciaos.,Explorar a ilha com um guia da tribo.,93,90,Joao descobre segredos valiosos sobre a ilha. Ele ganha conhecimento estrategico para exploracao.,O guia mostra rotas seguras e recursos escondidos. Joao ganha uma vantagem significativa na exploracao.,Joao infringe um tabu e e banido da tribo. Ele perde acesso aos recursos e protecao da tribo.,"Joao e o guia sao atacados por animais selvagens. Ele precisa salvar o guia ou escapar sozinho, afetando a relacao com a tribo."
Tribo,14,Enfrentar um conflito na tribo:,Tentar mediar a situacao pacificamente.,Alinhar-se com um dos lados para garantir protecao.,93,90,Joao resolve o conflito e ganha o respeito da tribo. Ele e visto como lider e ganha mais influencia.,O lado escolhido vence e protege Joao. Ele ganha aliados fortes dentro da tribo.,Joao se envolve e agrava o conflito. Ele e responsabilizado e perde a confianca da tribo.,O lado oposto vence e Joao e punido. Ele precisa fugir e encontra refugio fora da tribo.
Tribo,15,Participar de uma cacada:,Usar ferramentas tradicionais da tribo.,Improvisar com ferramentas modernas que possui.,96,91,Joao se sai bem e contribui para a cacada. Ele ganha respeito e confianca da tribo.,Joao tem sucesso e impressiona a tribo. Ele e visto como inovador e ganha influencia.,Joao falha e coloca todos em risco. Ele perde o respeito e precisa recuperar sua posicao.,As ferramentas falham e Joao perde a confianca da tribo. Ele precisa provar seu valor de outras formas.
Templo,16,Explorar o templo:,"Entrar na parte principal do templo, seguindo os desenhos nas paredes.",Investigar tuneis subterraneos em busca de segredos escondidos.,94,92,Joao encontra uma sala secreta cheia de provisoes. Ele ganha recursos importantes para sobreviver e explorar.,Joao descobre um caminho para fora da ilha ou tesouros escondidos. Ele ganha uma vantagem estrategica ou recursos valiosos.,"Joao ativa uma armadilha e fica preso. Ele precisa encontrar uma maneira de se libertar, gastando tempo e energia.","Joao se perde nos tuneis e fica desorientado. Ele precisa encontrar o caminho de volta, perdendo tempo e energia."
Templo,17,Decifrar os hieroglifos:,Usar a logica e conhecimento previo para decifrar os hieroglifos.,Procurar um item que ajude a decifrar os hieroglifos.,92,94,Joao desvenda um enigma que revela segredos do templo. Ele ganha acesso a areas proibidas e mais recursos.,Joao encontra um artefato que facilita a traducao dos simbolos. Ele ganha uma vantagem significativa na exploracao do templo.,Joao interpreta errado e ativa uma armadilha. Ele fica ferido e precisa se recuperar antes de continuar.,O item e amaldicoado e traz ma sorte a Joao. Ele enfrenta uma serie de desventuras e precisa lidar com a maldicao.
Templo,18,Desviar de armadilhas:,Analisar o terreno e mover-se cautelosamente.,Usar objetos para testar o caminho a frente.,91,95,Joao evita todas as armadilhas e avanca com seguranca. Ele ganha confianca e avanca rapidamente no templo.,Joao identifica e desativa varias armadilhas. Ele avanca com seguranca e encontra recursos valiosos. ,Joao hesita e cai em uma armadilha. Ele fica ferido e perde recursos importantes.,Um objeto ativado falha e Joao e pego de surpresa. Ele fica ferido e precisa se recuperar antes de continuar. 
Templo,19,Encontrar um artefato sagrado:,Pegar o artefato imediatamente.,Estudar o artefato antes de pega-lo.,90,98,Joao ganha poderes e vantagens especiais do artefato. Ele pode usar o artefato para facilitar sua sobrevivencia.,Joao desvenda como usar o artefato sem ativar a maldicao. Ele ganha uma vantagem estrategica e permanece seguro.,O artefato esta protegido por uma maldicao. Joao enfrenta novos desafios e perigos.,Joao perde tempo e outros perigos se aproximam. Ele precisa lidar com novas ameacas antes de obter o artefato.
Templo,20,Saida do templo:,Seguir um caminho bem iluminado e obvio.,Explorar caminhos menos obvios em busca de tesouros adicionais.,92,98,Joao encontra a saida rapidamente e sem contratempos. Ele escapa do templo com sucesso.,Joao encontra um tesouro valioso antes de sair do templo. Ele ganha recursos extras para sua jornada. E esse tesouro era um portal que o levava para casa em seguranca.,Joao e emboscado por armadilhas na saida. Ele fica preso novamente e precisa encontrar uma rota alternativa.,"Joao se perde nos corredores e demora a encontrar a saida. Ele fica desorientado e cansado, atrasando sua jornada."
